;Body,剛体名,剛体名(英),関連ボーン名,剛体タイプ(0:Bone/1:物理演算/2:物理演算+ボーン追従),グループ(0~15),非衝突グループ文字列(ex:1 2 3 4),形状(0:球/1:箱/2:カプセル),サイズ_x,サイズ_y,サイズ_z,位置_x,位置_y,位置_z,回転_x[deg],回転_y[deg],回転_z[deg],質量,移動減衰,回転減衰,反発力,摩擦力
Body,"スカート11","Skirt_1_7","",1,13,8 13 14 ,1,0.1625661,0.529492,0.1,0.7233191,10.6692,1.619209,-28.3868,20.9637,0,0.01,0.9,0.9,0,0
Body,"スカート12","Skirt_1_9","",1,13,8 13 14 ,1,0.1625661,0.5294919,0.1,-0.7233193,10.6692,1.619208,-28.3868,-20.9637,0,0.01,0.9,0.9,0,0
Body,"スカート13","Skirt_1_11","",1,13,8 13 14 ,1,0.1625661,0.5147863,0.1,-1.746247,10.6692,0.5422496,-25.188,-65.8767,0,0.01,0.9,0.9,0,0
Body,"スカート14","Skirt_1_13","",1,13,8 13 14 ,1,0.1625661,0.5070384,0.1,-1.746247,10.6692,-0.7676219,-22.282,-120.134,-9.226704E-07,0.01,0.9,0.9,0,0
Body,"スカート15","Skirt_1_15","",1,13,8 13 14 ,1,0.1625661,0.4839616,0.1,-0.723319,10.6692,-1.543101,-14.7112,-163.5337,-2.206776E-07,0.01,0.9,0.9,0,0
Body,"スカート16","Skirt_2_1","",1,13,8 13 14 ,1,0.2438492,0.4849664,0.2,0.8941106,9.441246,-1.794207,-15.2728,164.402,2.212576E-07,0.01,0.9,0.9,0,0
Body,"スカート17","Skirt_2_3","",1,13,8 13 14 ,1,0.2438492,0.5047157,0.2,2.158574,9.441246,-0.8716329,-21.6576,121.5745,9.18623E-07,0.01,0.9,0.9,0,0
Body,"スカート18","Skirt_2_5","",1,13,8 13 14 ,1,0.2438492,0.5130285,0.2,2.158574,9.441246,0.7789385,-24.681,67.25109,0,0.01,0.9,0.9,0,0
Body,"スカート19","Skirt_2_7","",1,13,8 13 14 ,1,0.2438492,0.5333881,0.2,0.8941101,9.441246,2.190625,-29.0858,22.2532,4.884888E-07,0.01,0.9,0.9,0,0
Body,"スカート20","Skirt_2_9","",1,13,8 13 14 ,1,0.2438492,0.5333881,0.2,-0.8941106,9.441246,2.190625,-29.0858,-22.2532,-4.884888E-07,0.01,0.9,0.9,0,0
Body,"スカート21","Skirt_2_11","",1,13,8 13 14 ,1,0.2438492,0.5130285,0.2,-2.158574,9.441246,0.7789382,-24.681,-67.25109,0,0.01,0.9,0.9,0,0
Body,"スカート22","Skirt_2_13","",1,13,8 13 14 ,1,0.2438492,0.5047156,0.2,-2.158574,9.441246,-0.8716335,-21.6576,-121.5745,-9.18623E-07,0.01,0.9,0.9,0,0
Body,"スカート23","Skirt_2_15","",1,13,8 13 14 ,1,0.2438492,0.4849664,0.2,-0.8941101,9.441246,-1.794207,-15.2728,-164.4021,2.212576E-07,0.01,0.9,0.9,0,0
Body,"スカート24","Skirt_3_1","",1,13,8 13 14 ,1,0.3251322,0.485424,0.3,1.056112,8.213295,-2.059673,-15.6943,164.7467,0,0.01,0.9,0.9,0,0
Body,"スカート25","Skirt_3_3","",1,13,8 13 14 ,1,0.3251322,0.500186,0.3,2.54968,8.213295,-0.9815928,-20.5369,122.1773,0,0.01,0.9,0.9,0,0
Body,"スカート26","Skirt_3_5","",1,13,8 13 14 ,1,0.3251322,0.5094984,0.3,2.54968,8.213295,1.026674,-23.5987,68.34671,0,0.01,0.9,0.9,0,0
Body,"スカート27","Skirt_3_7","",1,13,8 13 14 ,1,0.3251322,0.5389248,0.3,1.056112,8.213295,2.788712,-29.97681,23.3725,-4.928114E-07,0.01,0.9,0.9,0,0
Body,"スカート28","Skirt_3_9","",1,13,8 13 14 ,1,0.3251322,0.5389248,0.3,-1.056112,8.213295,2.788711,-29.97681,-23.3725,4.928114E-07,0.01,0.9,0.9,0,0
Body,"スカート29","Skirt_3_11","",1,13,8 13 14 ,1,0.3251322,0.5094985,0.3,-2.54968,8.213295,1.026674,-23.5987,-68.34671,0,0.01,0.9,0.9,0,0
Body,"スカート30","Skirt_3_13","",1,13,8 13 14 ,1,0.3251322,0.500186,0.3,-2.54968,8.213295,-0.9815931,-20.5369,-122.1774,0,0.01,0.9,0.9,0,0
Body,"スカート31","Skirt_3_15","",1,13,8 13 14 ,1,0.3251322,0.485424,0.3,-1.056112,8.213295,-2.059673,-15.6943,-164.7467,0,0.01,0.9,0.9,0,0
Body,"スカート32","Skirt_4_1","",1,13,8 13 14 ,1,0.4064153,0.4853886,0.3,1.203711,6.985343,-2.337039,-15.9524,164.7481,2.219923E-07,0.01,0.9,0.9,0,0
Body,"スカート33","Skirt_4_3","",1,13,8 13 14 ,1,0.4064153,0.4938856,0.3,2.906016,6.985343,-1.096481,-18.8568,122.1798,9.021951E-07,0.01,0.9,0.9,0,0
Body,"スカート34","Skirt_4_5","",1,13,8 13 14 ,1,0.4064153,0.5047035,0.3,2.906016,6.985343,1.289196,-21.8856,69.43509,0,0.01,0.9,0.9,0,0
Body,"スカート35","Skirt_4_7","",1,13,8 13 14 ,1,0.4064153,0.5464107,0.3,1.203711,6.985343,3.422494,-31.0173,24.5753,0,0.01,0.9,0.9,0,0
Body,"スカート36","Skirt_4_9","",1,13,8 13 14 ,1,0.4064153,0.5464107,0.3,-1.203711,6.985343,3.422494,-31.0173,-24.5753,0,0.01,0.9,0.9,0,0
Body,"スカート37","Skirt_4_11","",1,13,8 13 14 ,1,0.4064153,0.5047035,0.3,-2.906016,6.985343,1.289195,-21.8856,-69.43509,0,0.01,0.9,0.9,0,0
Body,"スカート38","Skirt_4_13","",1,13,8 13 14 ,1,0.4064153,0.4938856,0.3,-2.906016,6.985343,-1.096482,-18.8568,-122.1798,-9.021951E-07,0.01,0.9,0.9,0,0
Body,"スカート39","Skirt_4_15","",1,13,8 13 14 ,1,0.4064153,0.4853886,0.3,-1.203711,6.985343,-2.337039,-15.9524,-164.7481,-2.219923E-07,0.01,0.9,0.9,0,0
Body,"スカート_0_0","Skirt_0_0","スカート_0_0",1,12,8 ,1,0.543373,0.4563404,0.1,1.746253E-07,11.90662,-1.322629,-12.9207,-180,0,0.01,0.9,0.9,0,0
Body,"スカート_0_1","Skirt_0_1","スカート_0_1",1,12,8 ,1,0.543373,0.4708789,0.1,0.9622018,11.90662,-1.006536,-17.48269,142.8229,0,0.01,0.9,0.9,0,0
Body,"スカート_0_2","Skirt_0_2","スカート_0_2",1,12,8 ,1,0.543373,0.4849817,0.1,1.360759,11.90662,-0.2434207,-23.49149,90,9.309298E-07,0.01,0.9,0.9,0,0
Body,"スカート_0_3","Skirt_0_3","スカート_0_3",1,12,8 ,1,0.543373,0.4948598,0.1,0.9622017,11.90662,0.7470461,-25.97647,41.54552,-9.4972E-07,0.01,0.9,0.9,0,0
Body,"スカート_0_4","Skirt_0_4","スカート_0_4",1,12,8 ,1,0.543373,0.5045446,0.1,-6.329729E-08,11.90662,1.157311,-28.16895,-8.313764E-06,0,0.01,0.9,0.9,0,0
Body,"スカート_0_5","Skirt_0_5","スカート_0_5",1,12,8 ,1,0.543373,0.4948598,0.1,-0.9622017,11.90662,0.7470458,-25.97647,-41.54554,0,0.01,0.9,0.9,0,0
Body,"スカート_0_6","Skirt_0_6","スカート_0_6",1,12,8 ,1,0.543373,0.4849817,0.1,-1.360759,11.90662,-0.243421,-23.4915,-90.00001,9.309298E-07,0.01,0.9,0.9,0,0
Body,"スカート_0_7","Skirt_0_7","スカート_0_7",1,12,8 ,1,0.543373,0.4708789,0.1,-0.9622015,11.90662,-1.006536,-17.48269,-142.8229,0,0.01,0.9,0.9,0,0
Body,"スカート_1_0","Skirt_1_0","スカート_1_0",1,12,8 ,1,0.6502644,0.4797491,0.1,2.383932E-07,10.67867,-1.64178,-13.87619,-180,0,0.01,0.9,0.9,0,0
Body,"スカート_1_1","Skirt_1_1","スカート_1_1",1,12,8 ,1,0.6502644,0.495885,0.1,1.321159,10.67867,-1.234429,-18.10509,145.1049,0,0.01,0.9,0.9,0,0
Body,"スカート_1_2","Skirt_1_2","スカート_1_2",1,12,8 ,1,0.6502644,0.511512,0.1,1.868401,10.67867,-0.2509972,-24.42099,90,0,0.01,0.9,0.9,0,0
Body,"スカート_1_3","Skirt_1_3","スカート_1_3",1,12,8 ,1,0.6502644,0.5230563,0.1,1.321159,10.67867,1.210961,-26.96751,44.34946,0,0.01,0.9,0.9,0,0
Body,"スカート_1_4","Skirt_1_4","スカート_1_4",1,12,8 ,1,0.6502644,0.5343514,0.1,-8.828851E-08,10.67867,1.816524,-29.35324,-6.116994E-06,0,0.01,0.9,0.9,0,0
Body,"スカート_1_5","Skirt_1_5","スカート_1_5",1,12,8 ,1,0.6502644,0.5230564,0.1,-1.321159,10.67867,1.210961,-26.96751,-44.34946,0,0.01,0.9,0.9,0,0
Body,"スカート_1_6","Skirt_1_6","スカート_1_6",1,12,8 ,1,0.6502644,0.511512,0.1,-1.868401,10.67867,-0.2509975,-24.42099,-89.99999,0,0.01,0.9,0.9,0,0
Body,"スカート_1_7","Skirt_1_7","スカート_1_7",1,12,8 ,1,0.6502644,0.4958849,0.1,-1.321159,10.67867,-1.234429,-18.10508,-145.1049,-4.491237E-07,0.01,0.9,0.9,0,0
Body,"スカート_2_0","Skirt_2_0","スカート_2_0",1,12,8 ,1,0.7315475,0.4816734,0.25,2.990563E-07,9.450716,-1.921274,-14.77417,-180,5.262886E-14,0.01,0.9,0.9,0,0
Body,"スカート_2_1","Skirt_2_1","スカート_2_1",1,12,8 ,1,0.7315475,0.4987185,0.25,1.648269,9.450716,-1.43206,-18.79649,146.4042,0,0.01,0.9,0.9,0,0
Body,"スカート_2_2","Skirt_2_2","スカート_2_2",1,12,8 ,1,0.7315475,0.5152,0.25,2.331005,9.450716,-0.2509971,-25.30904,89.99999,1.888848E-06,0.01,0.9,0.9,0,0
Body,"スカート_2_3","Skirt_2_3","スカート_2_3",1,12,8 ,1,0.7315475,0.5279421,0.25,1.648269,9.450716,1.65623,-27.90521,45.95813,0,0.01,0.9,0.9,0,0
Body,"スカート_2_4","Skirt_2_4","スカート_2_4",1,12,8 ,1,0.7315475,0.5403839,0.25,-1.085095E-07,9.450716,2.446229,-30.47114,-3.834977E-06,0,0.01,0.9,0.9,0,0
Body,"スカート_2_5","Skirt_2_5","スカート_2_5",1,12,8 ,1,0.7315475,0.5279421,0.25,-1.648269,9.450716,1.65623,-27.90521,-45.95813,0,0.01,0.9,0.9,0,0
Body,"スカート_2_6","Skirt_2_6","スカート_2_6",1,12,8 ,1,0.7315475,0.5151999,0.25,-2.331005,9.450716,-0.2509974,-25.30903,-90.00001,0,0.01,0.9,0.9,0,0
Body,"スカート_2_7","Skirt_2_7","スカート_2_7",1,12,8 ,1,0.7315475,0.4987185,0.25,-1.648269,9.450716,-1.432061,-18.79649,-146.4043,-4.509357E-07,0.01,0.9,0.9,0,0
Body,"スカート_3_0","Skirt_3_0","スカート_3_0",1,12,8 ,1,0.8128305,0.483598,0.3,3.621448E-07,8.222765,-2.218531,-15.61555,-180,0,0.01,0.9,0.9,0,0
Body,"スカート_3_1","Skirt_3_1","スカート_3_1",1,12,8 ,1,0.8128305,0.5015528,0.3,1.988458,8.222765,-1.642253,-19.50814,147.1904,0,0.01,0.9,0.9,0,0
Body,"スカート_3_2","Skirt_3_2","スカート_3_2",1,12,8 ,1,0.8128305,0.5188866,0.3,2.812104,8.222765,-0.2509969,-26.15673,89.99999,0,0.01,0.9,0.9,0,0
Body,"スカート_3_3","Skirt_3_3","スカート_3_3",1,12,8 ,1,0.8128305,0.5328163,0.3,1.988458,8.222765,2.121238,-28.80137,47.00781,9.742992E-07,0.01,0.9,0.9,0,0
Body,"スカート_3_4","Skirt_3_4","スカート_3_4",1,12,8 ,1,0.8128305,0.5463909,0.3,-1.295391E-07,8.222765,3.103849,-31.5254,-3.129833E-06,0,0.01,0.9,0.9,0,0
Body,"スカート_3_5","Skirt_3_5","スカート_3_5",1,12,8 ,1,0.8128305,0.5328163,0.3,-1.988458,8.222765,2.121238,-28.80137,-47.00782,-9.742992E-07,0.01,0.9,0.9,0,0
Body,"スカート_3_6","Skirt_3_6","スカート_3_6",1,12,8 ,1,0.8128305,0.5188866,0.3,-2.812104,8.222765,-0.2509972,-26.15673,-90.00001,9.511828E-07,0.01,0.9,0.9,0,0
Body,"スカート_3_7","Skirt_3_7","スカート_3_7",1,12,8 ,1,0.8128305,0.5015527,0.3,-1.988457,8.222765,-1.642254,-19.50814,-147.1905,0,0.01,0.9,0.9,0,0
Body,"スカート_4_0","Skirt_4_0","スカート_4_0",1,12,8 ,1,0.9753967,0.4855042,0.3,4.275807E-07,6.994813,-2.532537,-16.40118,-180,0,0.01,0.9,0.9,0,0
Body,"スカート_4_1","Skirt_4_1","スカート_4_1",1,12,8 ,1,0.9753967,0.5043722,0.3,2.341304,6.994813,-1.864289,-20.21418,147.6837,-4.549056E-07,0.01,0.9,0.9,0,0
Body,"スカート_4_2","Skirt_4_2","スカート_4_2",1,12,8 ,1,0.9753967,0.5225594,0.3,3.311103,6.994813,-0.2509965,-26.96511,89.99999,0,0.01,0.9,0.9,0,0
Body,"スカート_4_3","Skirt_4_3","スカート_4_3",1,12,8 ,1,0.9753967,0.5376595,0.3,2.341303,6.994813,2.605268,-29.65687,47.75054,0,0.01,0.9,0.9,0,0
Body,"スカート_4_4","Skirt_4_4","スカート_4_4",1,12,8 ,1,0.9753967,0.5523468,0.3,-1.51351E-07,6.994813,3.78837,-32.5186,-2.627989E-06,0,0.01,0.9,0.9,0,0
Body,"スカート_4_5","Skirt_4_5","スカート_4_5",1,12,8 ,1,0.9753967,0.5376595,0.3,-2.341304,6.994813,2.605267,-29.65689,-47.75056,0,0.01,0.9,0.9,0,0
Body,"スカート_4_6","Skirt_4_6","スカート_4_6",1,12,8 ,1,0.9753967,0.5225595,0.3,-3.311103,6.994813,-0.2509969,-26.96512,-90.00001,0,0.01,0.9,0.9,0,0
Body,"スカート_4_7","Skirt_4_7","スカート_4_7",1,12,8 ,1,0.9753967,0.5043723,0.3,-2.341303,6.994813,-1.86429,-20.21419,-147.6837,0,0.01,0.9,0.9,0,0
